title,genres
"Pokemon: Let's Go, Eevee!","['Action RPG', 'Role-Playing', 'Trainer']"
"Pokemon: Let's Go, Pikachu!","['Action RPG', 'Role-Playing', 'Trainer']"
Arcade Archives: Urban Champion,"['Action', 'Fighting', '2D']"
The World Ends with You: Final Remix,"['Role-Playing', 'Action RPG']"
Luigi's Mansion,"['Action Adventure', 'General']"
Super Mario Party,"['Miscellaneous', 'Party / Minigame']"
Dragalia Lost,"['Role-Playing', 'General']"
Yo-kai Watch Blasters: Moon Rabbit Crew,"['Action', ""Beat-'Em-Up"", '3D']"
Arcade Archives: Excitebike,"['Racing', 'Arcade', 'Automobile']"
Xenoblade Chronicles 2: Torna ~ The Golden Country,"['Role-Playing', 'Action RPG']"
Nintendo Labo: Toycon 03 Vehicle Kit,"['Miscellaneous', 'Party / Minigame']"
Yo-kai Watch Blasters: Red Cat Corps,"['Action', ""Beat-'Em-Up"", '3D']"
Yo-kai Watch Blasters: White Dog Squad,"['Action', ""Beat-'Em-Up"", '3D']"
WarioWare Gold,"['Miscellaneous', 'Party / Minigame']"
Go Vacation,"['Miscellaneous', 'Party / Minigame']"
Xenoblade Chronicles 2: New Quests Pack 4,"['Role-Playing', 'Action RPG']"
Captain Toad: Treasure Tracker,"['Action', 'Platformer', '3D']"
Captain Toad: Treasure Tracker,"['Action', 'Platformer', '3D']"
Octopath Traveler,"['General', 'Role-Playing', 'Japanese-Style']"
Mario Tennis Aces,"['Sports', 'Individual', 'Tennis']"
Arcade Archives: Donkey Kong,"['Action', 'Platformer', '2D']"
Splatoon 2: Octo Expansion,"['Action', 'Shooter', 'Third-Person', 'Arcade']"
Xenoblade Chronicles 2: Battle Challenge Mode Pack,"['Role-Playing', 'Action RPG']"
Sushi Striker: The Way of Sushido,"['Puzzle', 'Matching']"
Sushi Striker: The Way of Sushido,"['Puzzle', 'Matching']"
Pokemon Quest,"['Role-Playing', 'Action RPG']"
Pokemon Quest,"['Role-Playing', 'Action RPG']"
Xenoblade Chronicles 2: New Quests Pack 3,"['Role-Playing', 'Action RPG']"
Dillon's Dead-Heat Breakers,"['Action', 'General']"
Hyrule Warriors: Definitive Edition,"['Action', ""Beat-'Em-Up"", '3D']"
Donkey Kong Country: Tropical Freeze,"['Action', 'Platformer', '2D']"
Nintendo Labo: Toycon 01 Variety Kit,"['Miscellaneous', 'Party / Minigame']"
Nintendo Labo: Toycon 02 Robot Kit,"['Miscellaneous', 'Party / Minigame']"
Arcade Archives: Punch-Out!,"['Sports', 'Individual', 'Combat', 'Boxing / Martial Arts']"
Xenoblade Chronicles 2: New Quests Pack 2,"['Role-Playing', 'Action RPG']"
Fire Emblem Warriors: Awakening Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Detective Pikachu,"['Adventure', '3D', 'Third-Person']"
Kirby Star Allies,"['Action', 'Platformer', '2D']"
Kirby Star Allies Demo,"['Action', 'Platformer', '2D']"
Bayonetta + Bayonetta 2,"['Miscellaneous', 'Compilation']"
Bayonetta 2,"['Action Adventure', 'Linear']"
Bayonetta,"['Action Adventure', 'Linear']"
Fire Emblem Warriors: Shadow Dragon Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Fire Emblem Warriors: Shadow Dragon Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Dragon Quest Builders,"['Action Adventure', 'Sandbox']"
Pokken Tournament DX: Battle Pack,"['Action', 'Fighting', '3D']"
Xenoblade Chronicles 2: New Quests Pack 1,"['Role-Playing', 'Action RPG']"
Kirby Battle Royale,"['Miscellaneous', 'Party / Minigame']"
Style Savvy: Styling Star,"['Simulation', 'Virtual', 'Career']"
Arcade Archives: Vs. Super Mario Bros.,"['Action', 'Platformer', '2D']"
Fire Emblem Warriors: Fates Pack,"['Action', ""Beat-'Em-Up"", '3D']"
Fire Emblem Warriors: Fates Pack,"['Action', ""Beat-'Em-Up"", '3D']"
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,"['Action Adventure', 'Open-World']"
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,"['Action Adventure', 'Open-World']"
Xenoblade Chronicles 2,"['Role-Playing', 'Action RPG']"
Animal Crossing: Pocket Camp,"['Simulation', 'Virtual', 'Virtual Life']"
Pokemon Ultra Sun,"['Role-Playing', 'Trainer']"
Pokemon Ultra Moon,"['Role-Playing', 'Trainer']"
Pokemon Ultra Sun & Pokemon Ultra Moon Veteran Trainer's Dual Pack,"['Role-Playing', 'Trainer']"
Ittle Dew 2+,"['Role-Playing', 'Action Adventure', 'General', 'Action RPG']"
Mario Party: The Top 100,"['Miscellaneous', 'Party / Minigame']"
"Snipperclips Plus: Cut It Out, Together!","['Puzzle', 'General']"
Super Mario Odyssey,"['Action', 'Platformer', '3D']"
Fire Emblem Warriors,"['Action', ""Beat-'Em-Up"", '3D']"
Fire Emblem Warriors,"['Action', ""Beat-'Em-Up"", '3D']"
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy,"['Puzzle', 'General']"
Mario & Luigi: Superstar Saga + Bowser's Minions,"['Role-Playing', 'Japanese-Style']"
Yo-kai Watch 2: Psychic Specters,"['Role-Playing', 'Trainer']"
Hive Jump,"['Action', 'Platformer', '2D']"
Monster Hunter Stories: The Legend of Zelda,"['Role-Playing', 'Action RPG', 'Japanese-Style']"
Arcade Archives: Mario Bros.,"['Action', 'Platformer', '2D']"
Dragon Ball: Xenoverse 2,"['Action', 'Fighting', '3D']"
Pokken Tournament DX,"['Action', 'Fighting', '3D']"
Metroid: Samus Returns,"['Action Adventure', 'Open-World']"
ARMS: Lola Pop,"['Action', 'Fighting', '3D']"
Monster Hunter Stories,"['Role-Playing', 'Action RPG', 'Japanese-Style']"
Sine Mora EX,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']"
Hey! Pikmin,"['Action', 'Platformer', '2D']"
Miitopia,"['Action', 'General']"
Splatoon 2,"['Action', 'Shooter', 'Third-Person', 'Arcade']"
Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy,"['Puzzle', 'General']"
Miitopia: Casting Call,"['Miscellaneous', 'Application']"
ARMS: Max Brass,"['Action', 'Fighting', '3D']"
Flip Wars,"['Puzzle', 'General']"
Kirby's Blowout Blast,"['Action', 'General']"
The Legend of Zelda: Breath of the Wild - The Master Trials,"['Action Adventure', 'Open-World']"
The Legend of Zelda: Breath of the Wild - The Master Trials,"['Action Adventure', 'Open-World']"
Ever Oasis,"['Role-Playing', 'Action RPG']"
Fire Emblem Echoes: Shadows of Valentia - Cipher Legends I,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Cipher Legends II,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Cipher Companions Pack,"['Strategy', 'Turn-Based', 'Tactics']"
ARMS,"['Action', 'Sports', 'Fighting', 'Individual', '3D', 'Combat', 'Boxing / Martial Arts']"
Fire Emblem Echoes: Shadows of Valentia - Rise of the Deliverance Pack,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Flight from the Ruins,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Outpost Rescue,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Battle of Zofia Harbor,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Siege of Zofia Castle,"['Strategy', 'Turn-Based', 'Tactics']"
ARMS: Global Testpunch,"['Action', 'Fighting', '3D']"
Fire Emblem Echoes: Shadows of Valentia - Undaunted Heroes Pack,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Inner Sanctum,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Lords of the Grave,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Lost Altars Pack,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Wealth Before Health,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Fledging Warriors Pack,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - The Astral Temple,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Wretches and Riches,"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Band of Bandages,"['Strategy', 'Turn-Based', 'Tactics']"
Mario Kart 8 Deluxe,"['Other', 'Racing', 'Arcade', 'Automobile']"
BYE-BYE BOXBOY!,"['Puzzle', 'Action']"
Team Kirby Clash Deluxe,"['Action', 'Miscellaneous', 'General', 'Party / Minigame']"
Mario Sports Superstars,"['Sports', 'General']"
Splatoon 2: Global Testfire,"['Action', 'Shooter', 'Third-Person', 'Arcade']"
The Legend of Zelda: Breath of the Wild,"['Fantasy', 'Fantasy', 'Action Adventure', 'Open-World']"
The Legend of Zelda: Breath of the Wild,"['Action Adventure', 'Open-World']"
1-2-Switch,"['Miscellaneous', 'Party / Minigame']"
"Snipperclips - Cut it out, together!","['Puzzle', 'General']"
Tank Troopers,"['Simulation', 'Vehicle', 'Combat']"
Poochy & Yoshi's Woolly World,"['Action', 'Platformer', '2D']"
Fire Emblem Heroes,"['Role-Playing', 'Strategy', 'Turn-Based', 'General', 'Tactics']"
Dragon Quest VIII: Journey of the Cursed King,"['Role-Playing', 'Japanese-Style']"
Super Mario Run,"['Action', 'Platformer', '2D']"
Excitebots: Trick Racing,"['Racing', 'Arcade', 'Automobile']"
Animal Crossing: New Leaf - Welcome Amiibo,"['Simulation', 'Virtual', 'Virtual Life']"
Super Mario Maker for Nintendo 3DS,"['Action', 'Platformer', '2D']"
Pokemon Sun,"['Role-Playing', 'Trainer']"
Pokemon Moon,"['Role-Playing', 'Trainer']"
Pokemon Sun and Moon Dual Pack,"['Role-Playing', 'Trainer']"
Swapdoodle,"['Miscellaneous', 'Application']"
Mario Party: Star Rush,"['Miscellaneous', 'Party / Minigame']"
Hyrule Warriors Legends: A Link Between Worlds Pack,"['Action', ""Beat-'Em-Up"", '3D']"
