title,genres
Wii Party U,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Pokemon X,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon Y,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Inazuma Eleven 3: Lightning Bolt,"['Sports', 'Traditional', 'Soccer', 'Arcade']"
Inazuma Eleven 3: Bomb Blast,"['Sports', 'Traditional', 'Soccer', 'Arcade']"
The Legend of Zelda: The Wind Waker HD,"['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
The Wonderful 101,"['Action', 'General', 'General']"
Pokemon Rumble U,"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']"
Mario & Luigi: Dream Team,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Art Academy: SketchPad,"['Miscellaneous', 'General', 'General', 'Application']"
Animal Crossing Plaza,"['Miscellaneous', 'General', 'Application']"
Pikmin 3,"['Strategy', 'Real-Time', 'Fantasy', 'General', 'Fantasy']"
Game & Wario,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
New Super Luigi U,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Animal Crossing: New Leaf,"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual', 'Virtual Life']"
Donkey Kong Country Returns 3D,"['Action', 'General', 'Platformer', 'Platformer', '2D', '2D']"
Fire Emblem: Awakening - The Future Past 3,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Apotheosis,"['Strategy', 'Turn-Based', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Future Past 2,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Mario and Donkey Kong: Minis on the Move,"['Puzzle', 'Action', 'Platformer', 'Platformer', '3D', '3D']"
Fire Emblem: Awakening - The Future Past 1,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Hot Spring Scramble,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Summer Scramble,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Wii U Panorama View,"['Miscellaneous', 'General', 'General']"
Fire Emblem: Awakening - The Radiant Hero,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Harvest Scramble,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Roster Rescue,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
LEGO City Undercover: The Chase Begins,"['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
Fire Emblem: Awakening - Five-Anna Firefight,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Dillon's Rolling Western: The Last Ranger,"['Action', 'General', 'General']"
Fire Emblem: Awakening - Rogues and Redeemers 3,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Wellspring of Truth,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Death's Embrace,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Rogues and Redeemers 2,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
HarmoKnight,"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
Fire Emblem: Awakening - Ghost of Blade,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Rogues and Redeemers 1,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Smash Brethren 3,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Luigi's Mansion: Dark Moon,"['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
Pokemon Mystery Dungeon: Gates to Infinity,"['General', 'Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Roguelike']"
Fire Emblem: Awakening - Smash Brethren 2,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
LEGO City Undercover,"['Action Adventure', 'Fantasy', 'General', 'Fantasy', 'Open-World']"
Fire Emblem: Awakening - Smash Brethren 1,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Lost Bloodlines 3,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - A Hard Miracle,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Kersploosh!,"['Miscellaneous', 'General', 'General']"
Fire Emblem: Awakening - Lost Bloodlines 2,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Infinite Regalia,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - EXPonential Growth,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Irreconcilable Paths,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Lost Bloodlines 1,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Wii Street U,"['Miscellaneous', 'General', 'Application']"
Fire Emblem: Awakening - Champions of Yore 3,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Golden Gaffe,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Dead King's Lament,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Brain Age: Concentration Training,"['Edutainment', 'Miscellaneous', 'Edutainment']"
Fire Emblem: Awakening - Champions of Yore 2,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Champions of Yore 1,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Tokyo Crash Mobs,"['Miscellaneous', 'Puzzle', 'General', 'Puzzle', 'General']"
Chase Mii,"['Miscellaneous', 'General']"
Fluidity: Spin Cycle,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Mystery Adventure Pack,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Impossible Pack,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Coin Challenge Pack C,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Platform Panic Pack,"['Action', 'Platformer', 'Platformer', '3D', '2D']"
New Super Mario Bros. 2: Gold Classics Pack,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Crashmo,"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Action']"
New Super Mario Bros. U,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Ninja Gaiden 3: Razor's Edge,"['Action', 'Action Adventure', 'Platformer', 'General', 'Platformer', '3D', '3D']"
SiNG Party,"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
Nintendo Land,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Paper Mario: Sticker Star,"['Action Adventure', 'General', 'Fantasy', 'Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Pokedex 3D Pro,"['Miscellaneous', 'General', 'General', 'Application']"
"Freakyforms Deluxe: Your Creations, Alive!","['Miscellaneous', 'General', 'General']"
Professor Layton and the Miracle Mask,"['Puzzle', 'Miscellaneous', 'Puzzle', 'General', 'Puzzle', 'General']"
New Super Mario Bros. 2: Coin Challenge Pack B,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Gold Mushroom Pack,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Style Savvy: Trendsetters,"['Simulation', 'Miscellaneous', 'General', 'General', 'Virtual', 'Career']"
Sparkle Snapshots 3D,"['Miscellaneous', 'General', 'General']"
Wii Sports/Wii Sports Resort,"['Miscellaneous', 'Compilation', 'Compilation']"
Pokemon Black Version 2,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon White Version 2,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon Dream Radar,"['Action', 'General', 'Miscellaneous', 'General', 'General']"
New Super Mario Bros. 2: Coin Challenge Pack A,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Gold Rush Pack,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Nerve-Wrack Pack,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Art Academy: Lessons for Everyone,"['Miscellaneous', 'Edutainment', 'Edutainment']"
Art Academy: Lessons for Everyone,"['Miscellaneous', 'Edutainment', 'Edutainment']"
Crosswords Plus,"['Miscellaneous', 'Puzzle', 'General', 'Puzzle', 'Logic', 'General']"
Inazuma Eleven Strikers,"['Sports', 'General']"
Kirby's Dream Collection: Special Edition,"['Miscellaneous', 'Compilation', 'Compilation']"
New Super Mario Bros. 2,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Project Zero 2: Wii Edition,"['Action Adventure', 'Horror']"
Pokemon Conquest,"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
New Play Control! Pikmin 2,"['Strategy', 'Real-Time', 'Fantasy', 'General', 'Fantasy']"
Mario Tennis Open,"['Sports', 'Traditional', 'Individual', 'Tennis', 'Tennis']"
Spirit Camera: The Cursed Memoir,"['Action Adventure', 'Horror', 'Horror', 'Survival']"
Ketzal's Corridors,"['General', 'Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Action']"
Xenoblade Chronicles,"['Role-Playing', 'Action RPG', 'Console-style RPG', 'Action RPG']"
Kid Icarus: Uprising,"['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
3D Classics: Kid Icarus,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Inazuma Eleven 2: Firestorm,"['Sports', 'General']"
Inazuma Eleven 2: Blizzard,"['Sports', 'General']"
Mario Party 9,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
PokePark 2: Wonders Beyond,"['Action Adventure', 'Adventure', 'General', 'Fantasy', 'General', 'Fantasy']"
Dillon's Rolling Western,"['Action', 'General', 'General']"
Rhythm Heaven Fever,"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
One Piece: Unlimited Cruise SP,"['Action', 'General']"
Sakura Samurai: Art of the Sword,"['Action', 'General', 'General']"
Pro Wrestling,"['Action', 'Fighting', 'Wrestling']"
The Legend of Zelda: Link's Awakening DX,"['Action Adventure', 'Fantasy']"
Super Mario Land,"['Action', 'Platformer', '2D']"
Deer Drive Legends,"['Sports', 'Individual', 'Nature', 'Hunting', 'Hunting']"
Swapnote,"['Miscellaneous', 'General', 'General', 'Application']"
Pushmo,"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Action']"
Fortune Street,"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
Mario Kart 7,"['Driving', 'Racing', 'Arcade', 'Kart', 'Kart', 'Automobile']"
The Legend of Zelda: Skyward Sword,"['Action Adventure', 'Fantasy', 'General', 'Fantasy', 'Open-World']"
3D Classics: Kirby's Adventure,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Fossil Fighters: Champions,"['Role-Playing', 'General', 'General']"
Super Mario 3D Land,"['Action', 'Platformer', 'Platformer', '3D', '3D']"
"Freakyforms: Your Creations, Alive!","['Miscellaneous', 'General', 'General']"
Kirby's Return to Dream Land,"['General', 'Action', 'Platformer', 'Platformer', '2D', '2D']"
Pokemon Rumble Blast,"['Action', 'General', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D', '3D']"
Professor Layton and the Last Specter,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Tetris Axis,"['Miscellaneous', 'Puzzle', 'Puzzle', 'Stacking', 'Stacking']"
The Legend of Zelda: Four Swords Anniversary Edition,"['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
3D Classics: TwinBee,"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
Kirby Mass Attack,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Dragon Quest Monsters: Joker 2,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style', 'Trainer']"
Star Fox 64 3D,"['Action', 'Shooter', 'Shooter', 'Rail', 'Rail']"
Inazuma Eleven,"['Sports', 'Traditional', 'Soccer', 'Arcade']"
3D Classics: Urban Champion,"['Action', 'Fighting', 'Fighting', '2D', '2D']"
3D Classics: Xevious,"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
Nintendo Video,"['Miscellaneous', 'General', 'General']"
Mystery Case Files: The Malgrave Incident,"['Miscellaneous', 'Puzzle', 'Hidden Object', 'Puzzle', 'General']"
The Legend of Zelda: Ocarina of Time 3D,"['Miscellaneous', 'Action Adventure', 'Fantasy', 'Fantasy', 'Compilation', 'Open-World']"
Wii Play: Motion,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Pokedex 3D,"['Miscellaneous', 'General', 'General', 'Application']"
3D Classics: Excitebike,"['Driving', 'Racing', 'Arcade', 'Motorcycle', 'Other', 'Automobile', 'Motocross', 'Motocross']"
Nintendogs + Cats: Golden Retriever & New Friends,"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Pilotwings Resort,"['Simulation', 'Flight', 'Civilian Plane', 'Civilian Plane', 'Civilian']"
Steel Diver,"['Action', 'Simulation', 'General', 'Submarine', 'Submarine', 'Marine', 'Combat']"
Nintendogs + Cats: Toy Poodle & New Friends,"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Nintendogs + Cats: French Bulldog & New Friends,"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
AR Games,"['Miscellaneous', 'General', 'General']"
Face Raiders,"['Action', 'General', 'General', 'Shooter', 'Light Gun']"
StreetPass Mii Plaza,"['Role-Playing', 'General', 'General']"
Nintendo 3DS,"['Hardware', 'Console']"
Mii Maker,"['Miscellaneous', 'General', 'Application']"
Nintendo 3DS Internet Browser,"['Miscellaneous', 'Application']"
Pokemon Black Version,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon White Version,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Dragon Quest VI: Realms of Revelation,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Mario Sports Mix,"['Sports', 'General', 'General']"
Disaster: Day of Crisis,"['Action', 'General']"
Another Code R: A Journey into Lost Memories,"['Adventure', 'General']"
Fluidity,"['Action', 'Platformer', 'Platformer', '2D', '3D', '2D']"
Mario Party 2,"['Miscellaneous', 'Party']"
Super Mario All-Stars: 25th Anniversary Edition,"['Miscellaneous', 'Compilation', 'Compilation']"
Fluidity,"['Action', 'Platformer', 'Platformer', '2D', '3D', '2D']"
Golden Sun: Dark Dawn,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Snowpack Park,"['Simulation', 'General', 'General']"
Donkey Kong Country Returns,"['Action', 'Adventure', 'General', 'Platformer', 'Platformer', '2D', '2D']"
Mario vs. Donkey Kong: Mini-Land Mayhem,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
FlingSmash,"['Action', 'General', 'General']"
PokePark Wii: Pikachu's Adventure,"['Action Adventure', 'Adventure', 'General', 'Fantasy', 'General', 'Fantasy']"
Art Academy,"['Miscellaneous', 'Edutainment', 'Edutainment']"
ThruSpace,"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Snapdots,"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Kirby's Epic Yarn,"['Adventure', 'General', 'Action', 'Platformer', 'Platformer', '2D', '2D']"
Pokemon Ranger: Guardian Signs,"['Role-Playing', 'General', 'General']"
Wii Party,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Samurai Warriors 3,"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '3D']"
Nintendo Countdown Calendar,"['Miscellaneous', 'General', 'General']"
Professor Layton and the Unwound Future,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Metroid: Other M,"['Action', 'Action Adventure', 'Shooter', 'Sci-Fi', 'Sci-Fi', 'General', 'Third-Person', 'Sci-Fi']"
Face Pilot: Fly With Your Nintendo DSi Camera!,"['Simulation', 'General', 'General']"
AquaSpace,"['Miscellaneous', 'General', 'General']"
Dragon Quest IX: Sentinels of the Starry Skies,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Mario Tennis,"['Sports', 'Traditional', 'Tennis']"
Sin & Punishment: Star Successor,"['Action', 'General', 'Shooter', 'Shooter', 'Rail', 'Rail']"
Art Style: Rotozoa,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Spin Six,"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Matching', 'Matching']"
100 Classic Books,"['Miscellaneous', 'General', 'Application']"
A Kappa's Trail,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Flametail,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
X-Scape,"['Simulation', 'Action Adventure', 'Sci-Fi', 'Sci-Fi', 'General', 'Space', 'Combat']"
Phoenix Wright: Ace Attorney Episode 5: Rise From the Ashes,"['Adventure', 'First-Person', 'Modern']"
Art Style: light trax,"['Miscellaneous', 'General', 'General']"
Metal Torrent,"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
Super Mario Galaxy 2,"['Action', 'Platformer', 'Platformer', '3D', '3D']"
Kirby Super Star,"['Action', 'Platformer', '2D']"
Looksley's Line Up,"['Miscellaneous', 'Puzzle', 'Puzzle', 'Hidden Object', 'General', 'Puzzle', 'General']"
Photo Dojo,"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']"
Picross 3D,"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Logic', 'Logic']"
Game & Watch: Flagman,"['Action', 'General', 'General']"
Game & Watch: Ball,"['Action', 'General', 'General', 'Arcade']"
Game & Watch: Donkey Kong Jr.,"['Action', 'General', 'General']"
Game & Watch: Vermin,"['Action', 'Miscellaneous', 'Trivia / Game Show', 'Trivia / Game Show', 'Arcade']"
Game & Watch: Helmet,"['Action', 'General', 'General']"
Game & Watch: Manhole,"['Action', 'General', 'General']"
Grill-Off with Ultra Hand!,"['Action', 'General', 'General']"
Game & Watch Collection 2,"['Miscellaneous', 'Compilation', 'Compilation']"
WarioWare D.I.Y. Showcase,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Nintendo DSi Metronome,"['Miscellaneous', 'General', 'General']"
Nintendo DSi Instrument Tuner,"['Miscellaneous', 'General', 'General']"
WarioWare D.I.Y.,"['Miscellaneous', 'General', 'General']"
America's Test Kitchen: Let's Get Cooking,"['Miscellaneous', 'General']"
America's Test Kitchen: Let's Get Cooking,"['Miscellaneous', 'General', 'General']"
Game & Watch: Judge,"['Action', 'General', 'General']"
Game & Watch: Chef,"['Action', 'General', 'General']"
Game & Watch: Mario's Cement Factory,"['Action', 'General', 'General']"
Pokemon HeartGold Version,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon SoulSilver Version,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Endless Ocean: Blue World,"['Adventure', 'General', 'General', '3D', 'Third-Person']"
Aura-Aura Climber,"['Action', 'General', 'General']"
Spotto!,"['Action', 'Adventure', 'General', 'General']"
Link 'n' Launch,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
True Swing Golf Express,"['Sports', 'Traditional', 'Golf', 'Sim', 'Sim']"
Number Battle,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'Logic', 'General']"
Glory of Heracles,"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Starship Defense,"['Strategy', 'Real-Time', 'Sci-Fi', 'Sci-Fi', 'Defense']"
Touch Solitaire,"['Miscellaneous', 'Board Games', 'Board Games']"
Phoenix Wright: Ace Attorney,"['Adventure', 'First-Person', 'Visual Novel', 'Modern', 'Modern']"
Trajectile,"['Action', 'General', 'General']"
Master of Illusion Express: Psychic Camera,"['Miscellaneous', 'General', 'General']"
Pilotwings,"['Simulation', 'Flight', 'Civilian Plane']"
Super Smash Bros.,"['Action', 'Fighting', '3D']"
Eco Shooter: Plant 530,"['Action', 'Adventure', 'General', 'Shooter', 'First-Person', 'Fantasy', 'Arcade']"
Master of Illusion Express: Matchmaker,"['Miscellaneous', 'General', 'General']"
The Legend of Zelda: Spirit Tracks,"['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
Master of Illusion Express: Mind Probe,"['Miscellaneous', 'General', 'General']"
Electroplankton: Lumiloop,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Sun-Animalcule,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Varvoice,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Marine-Crystals,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Luminarrow,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Super Mario Kart,"['Driving', 'Racing', 'Kart']"
Pokemon Rumble,"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D', '3D']"
Art Style: DIGIDRIVE,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'General']"
New Super Mario Bros. Wii,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Electroplankton: Beatnes,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Trapy,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Nanocarp,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Hanenbow,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Rec-Rec,"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Excitebike: World Rally,"['Driving', 'Racing', 'Arcade', 'Motorcycle', 'Other', 'Motocross', 'Motocross']"
Style Savvy,"['Simulation', 'General', 'General', 'Virtual', 'Career']"
Sparkle Snapshots,"['Miscellaneous', 'Edutainment']"
Doc Louis's Punch-Out!!,"['Sports', 'Traditional', 'Individual', 'Boxing', 'Boxing', 'Combat', 'Boxing / Martial Arts']"
PictureBook Games: The Royal Bluff,"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
Crash-Course Domo,"['Driving', 'Racing', 'Arcade', 'Other', 'Other']"
Hard-Hat Domo,"['Adventure', 'Puzzle', 'Action', 'General']"
Pro-Putt Domo,"['Sports', 'Traditional', 'Individual', 'Golf', 'Arcade', 'Arcade']"
Rock-n-Roll Domo,"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
White-Water Domo,"['Driving', 'Racing', 'Arcade', 'Snow / Water', 'Other', 'Snow / Water']"
Pokemon Mystery Dungeon: Explorers of Sky,"['Role-Playing', 'General', 'Console-style RPG', 'Console-style RPG', 'Roguelike']"
Pinball Pulse: The Ancients Beckon,"['Action', 'Miscellaneous', 'Parlor', 'Pinball', 'Pinball']"
Wii Fit Plus,"['Sports', 'Miscellaneous', 'Alternative', 'General', 'Exercise / Fitness', 'Other']"
Art Academy: Second Semester,"['Miscellaneous', 'Edutainment', 'Edutainment']"
Clubhouse Games Express: Strategy Pack,"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
"You, Me, and the Cubes","['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Mario & Luigi: Bowser's Inside Story,"['Role-Playing', 'Action RPG', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Art Academy: First Semester,"['Miscellaneous', 'Edutainment', 'Edutainment']"
Clubhouse Games Express: Family Favorites,"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
Puzzle League Express,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Professor Layton and the Diabolical Box,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Metroid Prime Trilogy,"['Action', 'Miscellaneous', 'Shooter', 'Compilation', 'Compilation', 'First-Person', 'Sci-Fi']"
Picture Book Games: Pop-Up Pursuit,"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
Brain Age Express: Sudoku,"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Logic', 'General']"
Flipnote Studio,"['Miscellaneous', 'General', 'Application']"
Fossil Fighters,"['Role-Playing', 'General', 'General']"
Rock N' Roll Climber,"['Action', 'General', 'General']"
Brain Age Express: Arts & Letters,"['Miscellaneous', 'Edutainment', 'Edutainment']"
Art Style: precipice,"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Wii Sports Resort,"['Sports', 'General', 'General', 'Individual', 'Athletics']"
Art Style: ZENGAGE,"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Matching', 'Matching']"
Art Style: BASE 10,"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Bit.Trip Core,"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
Art Style: BOXLIFE,"['Miscellaneous', 'General', 'General']"
Mario Calculator,"['Action', 'Miscellaneous', 'General', 'Edutainment']"
Mario Clock,"['Miscellaneous', 'General', 'General', 'Application']"
Mario vs. Donkey Kong: Minis March Again!,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
The Legendary Starfy,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Personal Trainer: Walking,"['Miscellaneous', 'General', 'Exercise / Fitness']"
Photo Clock,"['Miscellaneous', 'General', 'Application']"
Punch-Out!!,"['Sports', 'Traditional', 'Individual', 'Boxing', 'Boxing', 'Combat', 'Boxing / Martial Arts']"
Art Style: PiCTOBiTS,"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Matching', 'Matching']"
The Legend of Zelda: Majora's Mask,"['Action Adventure', 'Fantasy']"
New Play Control! Donkey Kong Jungle Beat,"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Animal Crossing Calculator,"['Miscellaneous', 'Edutainment', 'Application']"
Animal Crossing Clock,"['Miscellaneous', 'Edutainment', 'Application']"
